Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Indonesia,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Iran,1,100.00%,1,0.00%,2,0:00:59,0.00%,0,$0.00
South Korea,1,100.00%,1,0.00%,2,0:00:11,0.00%,0,$0.00
Kazakhstan,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Lithuania,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Montenegro,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Macedonia (FYROM),1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Macau,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
R̩union,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Slovenia,1,100.00%,1,0.00%,2,0:00:26,0.00%,0,$0.00
El Salvador,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Uruguay,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Uzbekistan,1,100.00%,1,0.00%,2,0:00:09,0.00%,0,$0.00
